test_id,issue,wbs_code,iso_25010_characteristic,verification_layer,test_design_technique,requirement_summary,evidence_artifact,wave1_status,reviewer
SUPERTONIC-01-T-001,486,SUPERTONIC-01,functional_suitability,L2,use_case,Supertonic provider spike documents API surface and gaps,verification-evidence/supertonic/SUPERTONIC-01-spike.md,enforced-wave1,code-review
SUPERTONIC-01-T-002,486,SUPERTONIC-01,security,L2,error_guessing,API key handling documented; no key in spike artifacts,verification-evidence/supertonic/SUPERTONIC-01-spike.md,enforced-wave1,code-review
QA8-01-T-001,499,QA8-01,maintainability,L1,doc_review,QA8 charter defines reliability/stability programme,verification-evidence/qa8/QA8-01-charter.md,enforced-wave1,code-review
QA8-01-T-002,499,QA8-01,reliability,L4,doc_review,Risk register present and links to SLOs,verification-evidence/qa8/QA8-01-charter.md,enforced-wave1,code-review
QA8-02-T-001,500,QA8-02,reliability,L2,boundary_value_analysis,SLO schema JSON validates against meta-schema,verification-evidence/qa8/QA8-02-slo-schema.json,enforced-wave1,code-review
QA8-02-T-002,500,QA8-02,maintainability,L1,equivalence_partitioning,JSON-Schema self-validation meta-test passes under tests/**,tests/**,enforced-wave1,code-review
QA8-02-T-003,500,QA8-02-b,reliability,L2,error_guessing,Checker binary (deferred to QA8-02b),successor-issue,enforced-from-w2,code-review
SEC-01-T-001,509,SEC-01,maintainability,L1,equivalence_partitioning,Issue-hygiene workflow YAML passes actionlint,.github/workflows/issue-hygiene.yml,enforced-wave1,code-review
SEC-01-T-002,509,SEC-01,security,L1,error_guessing,Workflow does not leak secrets into logs,.github/workflows/issue-hygiene.yml,enforced-wave1,opus-qa
REL-01-T-001,510,REL-01,maintainability,L1,equivalence_partitioning,Release-gate workflow YAML passes actionlint,.github/workflows/release-gate.yml,enforced-wave1,code-review
REL-01-T-002,510,REL-01,security,L1+L2,error_guessing,Release-gate signs artefacts where present (SLSA/cosign),.github/workflows/release-gate.yml,enforced-from-w2,code-review
REL-01-T-003,510,REL-01,reliability,L4,use_case,Release-gate requires soak + CI green before promotion,.github/workflows/release-gate.yml,enforced-wave1,code-review
SCHEMA-01-T-001,501,QA8-03,reliability,L1,boundary_value_analysis,Metrics snapshot serde round-trips against schema v2,tests/qa8_schema_contract.rs,enforced-from-w2,opus-specialist
SCHEMA-01-T-002,501,QA8-03,maintainability,L1,equivalence_partitioning,v1 read-back compatibility test (no field removed),tests/**,enforced-from-w2,opus-specialist
SCHEMA-01-T-003,501,QA8-03,portability,L1,equivalence_partitioning,Cross-platform CI green; Windows mandatory,verification-evidence/qa8/QA8-03-soak-schema-v2.json,enforced-from-w2,opus-specialist
PROC-01-T-001,502,QA8-04,performance_efficiency,L2,boundary_value_analysis,process.rs leak-fixture test passes; overhead ≤0.5 % CPU note,tests/**,enforced-from-w2,code-review
PROC-01-T-002,502,QA8-04,portability,L1+L2,equivalence_partitioning,Per-OS metrics marked unsupported where not measurable,src/metrics/process.rs,enforced-from-w2,code-review
PROC-01-T-003,502,QA8-04,maintainability,L1,equivalence_partitioning,No edits to memory_guard.rs except read-only reference,src/metrics/process.rs,enforced-from-w2,code-review
LOSS-01-T-001,505,QA8-07,reliability,L1,boundary_value_analysis,Counter/histogram primitives unit tests under tests/**,tests/**,enforced-from-w2,code-review
LOSS-01-T-002,505,QA8-07,performance_efficiency,L2,equivalence_partitioning,Recording API in loss.rs+network.rs without capture/fanout edits,src/metrics/loss.rs;src/metrics/network.rs,enforced-from-w2,code-review
LOSS-01-T-003,505,QA8-07-b,performance_efficiency,L2,error_guessing,Call-site wiring (deferred to QA8-07b),successor-issue,enforced-from-w2,code-review
MEM-01-T-001,506,QA8-08,safety,L1+L4,error_guessing,Forced-panic test captures message+thread+backtrace into JSON,tests/**,enforced-from-w2,opus-specialist
MEM-01-T-002,506,QA8-08,reliability,L4,boundary_value_analysis,RSS-threshold watcher signals before forced kill (Windows 10/11),src/metrics/memory_guard.rs,enforced-from-w2,opus-specialist
MEM-01-T-003,506,QA8-08-b,reliability,L4,error_guessing,Crash-dump capture + symbolication (deferred to QA8-08b),successor-issue,enforced-from-w2,code-review
SOAK-01-T-001,503,QA8-05,reliability,L4,use_case,10-min smoke run produces complete v2 artifact,src/bin/audio_stability_proof.rs,enforced-from-w2,tui-soak-monitor
SOAK-01-T-002,503,QA8-05,reliability,L4,state_transition,1-hour deterministic schedule produces fault-event log,src/bin/audio_stability_proof.rs,enforced-from-w2,tui-soak-monitor
SOAK-01-T-003,503,QA8-05,performance_efficiency,L4,boundary_value_analysis,Latency p50/p95 within thresholds over 1 h,src/bin/audio_stability_proof.rs,enforced-from-w2,tui-soak-monitor
SOAK-01-T-004,503,QA8-05,reliability,L4,use_case,Runner accepts --hours/--sample-secs/--fault-script/--crash-watch flags,src/bin/audio_stability_proof.rs,enforced-from-w2,tui-soak-monitor
SOAK-01-T-005,503,QA8-05-b,reliability,L4,error_guessing,External fault-driver modules (deferred to QA8-05b),successor-issue,enforced-from-w2,code-review
DM-08-T-001,384,DM-08,functional_suitability,L1,doc_review,Dual-mode docs (deferred out of Wave-1; depends on DM-01..DM-07),deferred-out-of-wave1,deferred,n/a
